clutch_code,egg_number,label,area,length,max width,volume,ellipse deviation,surface area,left R^2,right R^2,mean_volume,
4370,8,Egg_Measurement.txt,3.67E+04,6.29E-01,3.78E-01,4.67E-02,3.09E-04,6.55E-01,9.47E-01,9.93E-01,,
4370,9,Egg_Measurement.txt,4.17E+04,6.66E-01,4.29E-01,6.27E-02,5.11E-04,7.91E-01,9.74E-01,9.13E-01,,
4370,10,Egg_Measurement.txt,4.02E+04,6.34E-01,4.11E-01,5.55E-02,3.85E-04,7.28E-01,9.96E-01,9.85E-01,5.72E-02,
4936,1,Egg_Measurement.txt,4.40E+04,5.54E-01,3.70E-01,3.95E-02,1.93E-04,5.76E-01,9.56E-01,9.56E-01,,
4936,2,Egg_Measurement.txt,4.18E+04,5.96E-01,3.26E-01,3.22E-02,4.68E-04,5.21E-01,9.72E-01,9.40E-01,,
4936,3,Egg_Measurement.txt,4.09E+04,5.13E-01,3.71E-01,3.68E-02,2.23E-05,5.45E-01,9.98E-01,9.83E-01,,
4936,4,Egg_Measurement.txt,4.60E+04,5.96E-01,3.52E-01,3.85E-02,6.94E-05,5.77E-01,9.89E-01,9.92E-01,,
4936,5,Egg_Measurement.txt,4.65E+04,5.64E-01,3.78E-01,4.24E-02,4.26E-05,6.04E-01,9.75E-01,9.94E-01,,
4936,6,Egg_Measurement.txt,4.38E+04,5.55E-01,3.71E-01,3.92E-02,9.06E-05,5.73E-01,9.95E-01,9.96E-01,,
4936,7,Egg_Measurement.txt,5.88E+04,5.99E-01,4.50E-01,6.31E-02,1.61E-04,7.78E-01,9.88E-01,9.97E-01,,
4936,8,Egg_Measurement.txt,4.78E+04,5.59E-01,3.97E-01,4.52E-02,1.27E-04,6.26E-01,9.95E-01,9.98E-01,,
4936,9,Egg_Measurement.txt,4.74E+04,5.64E-01,3.86E-01,4.31E-02,2.98E-04,6.10E-01,9.86E-01,9.96E-01,,
4936,10,Egg_Measurement.txt,4.88E+04,5.71E-01,3.93E-01,4.56E-02,4.00E-04,6.33E-01,9.70E-01,9.59E-01,4.26E-02,
4994,1,,5.74E+04,6.36E-01,4.26E-01,5.97E-02,3.24E-04,7.60E-01,9.78E-01,9.72E-01,,
4994,2,,5.56E+04,6.26E-01,4.08E-01,5.39E-02,4.18E-04,7.13E-01,9.70E-01,9.89E-01,,
4994,3,,5.43E+04,6.11E-01,4.06E-01,5.30E-02,8.87E-05,7.02E-01,9.64E-01,9.84E-01,,
4994,4,,5.79E+04,6.43E-01,4.21E-01,5.84E-02,5.90E-04,7.52E-01,9.87E-01,9.73E-01,,
4994,5,,5.87E+04,6.60E-01,4.21E-01,6.07E-02,1.60E-04,7.72E-01,9.95E-01,9.82E-01,,
4994,6,,5.44E+04,6.37E-01,4.05E-01,5.34E-02,6.00E-04,7.12E-01,9.93E-01,9.65E-01,,
4994,7,,6.06E+04,6.60E-01,4.28E-01,6.27E-02,1.54E-04,7.88E-01,9.88E-01,1.00E+00,,
4994,8,,5.56E+04,6.36E-01,4.14E-01,5.58E-02,5.14E-04,7.30E-01,9.87E-01,9.75E-01,,
4994,9,Egg_Measurement.txt,5.33E+04,6.29E-01,4.05E-01,5.22E-02,2.31E-04,6.98E-01,9.93E-01,9.71E-01,,
4994,10,Egg_Measurement.txt,5.73E+04,6.57E-01,4.13E-01,5.90E-02,6.28E-05,7.60E-01,9.74E-01,9.36E-01,5.69E-02,
5088,1,Egg_Measurement.txt,5.75E+04,6.79E-01,3.96E-01,5.46E-02,3.70E-04,7.31E-01,9.62E-01,9.44E-01,,
5088,2,Egg_Measurement.txt,5.41E+04,6.23E-01,4.03E-01,5.32E-02,1.62E-05,7.06E-01,9.81E-01,9.85E-01,,
5088,3,Egg_Measurement.txt,5.84E+04,6.58E-01,4.07E-01,5.70E-02,7.95E-05,7.44E-01,9.50E-01,9.76E-01,,
5088,4,Egg_Measurement.txt,5.98E+04,6.65E-01,4.16E-01,6.03E-02,3.96E-04,7.74E-01,9.74E-01,9.93E-01,,
5088,5,Egg_Measurement.txt,5.80E+04,6.70E-01,4.18E-01,6.11E-02,5.72E-04,7.81E-01,9.90E-01,9.83E-01,,
5088,6,Egg_Measurement.txt,6.06E+04,6.73E-01,4.32E-01,6.48E-02,3.29E-04,8.08E-01,9.71E-01,9.71E-01,,
